Hour,Primary Volume (Gallons Storage Temp),Primary Generation (Gallons Storage Temp),HW Demand (Gallons Storage Temp),HW Demand (Gallons Supply Temp),Recirculation Loss to Primary System (Gallons Supply Temp),Theoretical HW Generation (Gallons Supply Temp),Primary Run Time (Min),Input Capacity (kW),Output Capacity (kW),Primary COP,ON Setpoint Tank Volume (%),ON Setpoint Temperature (F),Actual Temperature at ON Setpoint (F),OFF Setpoint Tank Volume (%),OFF Setpoint Temperature (F),Actual Temperature at OFF Setpoint (F),Temperature at 100% Tank Volume (F),Temperature at 75% Tank Volume (F),Temperature at 50% Tank Volume (F),Temperature at 25% Tank Volume (F),Temperature at 0% Tank Volume (F),OAT (F),C02 Emissions (kG)
1090.0,1861.015,491.236,491.61400009509833,708.231,104.40141078663973,812.007,60.0,51.70405000000001,115.68605625000001,2.237466044729571,0.4,122,127.69471939996271,0.4,160,127.69471939996271,160,160,155.6947193999627,85.69471939996271,63.806,55.4,-0.7431076172324501
1091.0,2054.086,492.619,299.5480515078275,390.748,104.40141078663973,814.294,60.0,48.07405,116.0119625,2.413193032415617,0.4,122,145.7147202177839,0.4,160,145.7147202177839,160,160,160,103.71472021778393,63.806,60.98,-0.69093606296245
1092.0,2207.143,290.087,137.03071125243108,122.109,104.40141078663973,813.65,35.35999585085668,46.126402500000005,115.92014499999999,2.5130974608305943,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,66.2,-0.2711263707204179
1093.0,2025.789,0,181.35362375024258,195.374,104.40141078663973,812.892,0.0,44.2904025,115.81214499999999,2.6148361374679308,0.4,122,143.07366178331068,0.4,160,143.07366178331068,160,160,160,101.07366178331071,63.806,71.6,-0.0
1094.0,1903.533,0,122.25641265640635,97.687,104.40141078663973,812.892,0.0,44.2904025,115.81214499999999,2.6148361374679308,0.4,122,131.6630632687128,0.4,160,131.6630632687128,160,160,159.6630632687128,89.66306326871279,63.806,71.6,0.0
1095.0,1908.057,156.329,151.80501541836824,146.531,104.40141078663973,812.639,19.079288473753124,43.67840249999999,115.77614499999997,2.650649711834127,0.4,122,132.08527746394446,0.4,160,132.08527746394446,160,160,160,90.08527746394446,63.806,73.4,-0.7286210008035753
1096.0,2207.143,436.117,137.03071125243108,122.109,104.40141078663973,812.639,53.226313781755465,43.67840249999999,115.77614499999997,2.650649711834127,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,73.4,-0.7981927481374038
1097.0,2055.338,0,151.80501541836824,146.531,104.40141078663973,812.639,0.0,43.67840249999999,115.77614499999997,2.650649711834127,0.4,122,145.83153189428566,0.4,160,145.83153189428566,160,160,160,103.83153189428565,63.806,73.4,0.0
1098.0,1800.113,0,255.22514457992847,317.483,104.40141078663973,812.892,0.0,44.2904025,115.81214499999999,2.6148361374679308,0.4,122,122.01051840015899,0.4,160,122.01051840015899,160,160,150.01051840015901,80.010518400159,63.806,71.6,0.0
1099.0,1992.609,492.044,299.5480515078275,390.748,104.40141078663973,813.65,59.97742656432049,46.126402500000005,115.92014499999999,2.5130974608305943,0.4,122,139.9768458744294,0.4,160,139.9768458744294,160,160,160,97.97684587442939,63.806,66.2,22.378013051769504
1100.0,2200.218,492.382,284.77374734189027,366.326,104.40141078663973,813.902,60.0,46.7384025,115.95614499999999,2.480960811615245,0.4,122,159.3536601763551,0.4,160,159.3536601763551,160,160,160,117.35366017635513,63.806,64.4,23.1289602525417
1101.0,2207.143,336.022,329.09665983970183,439.592,104.40141078663973,814.294,40.92672786887439,48.20005,116.0119625,2.4068846920283278,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,60.8,16.282207819378176
1102.0,1801.9,12.5,417.7424792654124,586.122,104.40141078663973,814.294,1.522414786429309,48.20005,116.0119625,2.4068846920283278,0.4,122,122.17732379239935,0.4,160,122.17732379239935,160,160,150.17732379239936,80.17732379239935,63.806,60.8,0.5923127446745742
1103.0,1950.335,492.306,343.87096400563905,464.013,104.40141078663973,813.775,60.0,50.09125000000001,115.93805625,2.314537094801986,0.4,122,136.03122894552695,0.4,160,136.03122894552695,160,160,160,94.03122894552698,63.806,57.92,17.21206694967375
